ÏñÔª	¹âÇ¿
2261	204
2262	206
2263	207
2264	209
2265	211
2266	211
2267	210
2268	212
2269	212
2270	213
2271	213
2272	213
2273	213
2274	213
2275	212
2276	211
2277	211
2278	208
2279	206
2280	203
2281	198
2282	190
2283	177
2284	167
2285	161
2286	155
2287	147
2288	135
2289	123
2290	113
2291	104
2292	 97
2293	 92
2294	 90
2295	 86
2296	 86
2297	 82
2298	 78
2299	 75
2300	 75
2301	 76
2302	 76
2303	 77
2304	 80
2305	 83
2306	 84
2307	 87
2308	 94
2309	111
2310	126
2311	141
2312	153
2313	162
2314	170
2315	175
2316	182
2317	187
2318	193
2319	199
2320	201
2321	203
2322	204
2323	205
2324	206
2325	204
2326	202
2327	197
2328	189
2329	178
2330	168
2331	160
2332	151
2333	142
2334	131
2335	120
2336	111
2337	102
2338	 96
2339	 92
2340	 89
2341	 89
2342	 89
2343	 88
2344	 88
2345	 85
2346	 81
2347	 79
2348	 77
2349	 77
2350	 77
2351	 82
2352	 91
2353	103
2354	118
2355	133
2356	147
2357	157
2358	165
2359	173
2360	178
2361	182
2362	185
2363	190
2364	192
2365	195
2366	195
2367	195
2368	195
2369	193
2370	195
2371	196
2372	198
2373	199
2374	201
2375	203
2376	204
2377	204
2378	205
2379	206
2380	207
2381	206
2382	207
2383	207
2384	206
2385	206
2386	207
2387	206
2388	206
2389	208
2390	208
2391	210
2392	211
2393	211
2394	212
2395	212
2396	213
2397	212
2398	213
2399	212
2400	213
2401	212
2402	212
2403	211
2404	210
2405	211
2406	211
2407	211
2408	211
2409	210
2410	209
2411	209
2412	207
2413	204
2414	203
2415	204
2416	206
2417	208
2418	209
2419	210
2420	210
2421	210
2422	209
2423	209
2424	209
2425	209
2426	208
2427	208
2428	207
2429	208
2430	208
2431	208
2432	209
2433	210
2434	209
2435	209
2436	209
2437	209
2438	208
2439	208
2440	206
2441	206
2442	206
2443	205
2444	205
2445	204
2446	204
2447	202
2448	204
2449	203
2450	203
2451	203
2452	205
2453	206
2454	206
2455	208
2456	209
2457	209
2458	210
2459	210
2460	211
2461	210
2462	210
2463	210
2464	210
2465	208
2466	208
2467	207
2468	205
2469	204
2470	205
2471	203
2472	203
2473	202
2474	202
2475	202
2476	203
2477	202
2478	202
2479	201
2480	203
2481	201
2482	202
2483	203
2484	203
2485	201
2486	200
2487	201
2488	201
2489	202
2490	202
2491	203
2492	203
2493	203
2494	204
2495	203
2496	203
2497	203
2498	202
2499	202
2500	201
2501	200
2502	200
2503	200
2504	199
2505	199
2506	199
2507	199
2508	201
2509	201
2510	202
2511	203
2512	202
2513	202
2514	203
2515	201
2516	202
2517	201
2518	200
2519	199
2520	198
2521	199
2522	199
2523	199
2524	198
2525	198
2526	200
2527	199
2528	199
2529	199
2530	199
2531	199
2532	199
2533	199
2534	198
2535	200
2536	199
2537	198
2538	197
2539	196
2540	194
2541	195
2542	194
2543	194
2544	194
2545	193
2546	193
2547	192
2548	192
2549	190
2550	190
2551	190
2552	190
2553	189
2554	189
2555	188
2556	190
2557	186
2558	188
2559	187
2560	186
2561	185
2562	186
2563	185
2564	184
2565	184
2566	185
2567	185
2568	185
2569	186
2570	188
2571	189
2572	189
2573	189
2574	189
2575	190
2576	190
2577	190
2578	190
2579	190
2580	189
2581	189
2582	188
2583	188
2584	188
2585	189
2586	188
2587	189
2588	189
2589	189
2590	191
2591	192
2592	192
2593	192
2594	192
2595	194
2596	193
2597	194
2598	194
2599	192
2600	191
2601	191
2602	193
2603	191
2604	190
2605	191
2606	191
2607	190
2608	190
2609	189
2610	190
2611	190
2612	188
2613	191
2614	191
2615	190
2616	189
2617	188
2618	188
2619	187
2620	188
2621	188
2622	189
2623	188
2624	190
2625	189
2626	188
2627	192
2628	190
2629	190
2630	190
2631	190
2632	190
2633	189
2634	189
2635	188
2636	188
2637	188
2638	189
2639	189
2640	190
2641	191
2642	191
2643	190
2644	190
2645	190
2646	189
2647	189
2648	190
2649	190
2650	190
2651	191
2652	191
2653	192
2654	192
2655	191
2656	191
2657	190
2658	191
2659	189
2660	189
2661	190
2662	189
2663	187
2664	189
2665	188
2666	188
2667	187
2668	188
2669	187
2670	189
2671	187
2672	187
2673	187
2674	188
2675	187
2676	187
2677	187
2678	187
2679	188
2680	189
2681	190
2682	189
2683	188
2684	190
2685	190
2686	190
2687	189
2688	189
2689	189
2690	189
2691	188
2692	187
2693	186
2694	187
2695	186
2696	187
2697	188
2698	188
2699	188
2700	189
